time_of_day,track_name,artist_name
Morning,Bulletproof Heart,My Chemical Romance
Night,MakeDamnSure,Taking Back Sunday
Night,The Boys of Summer,The Ataris
Night,Can't Be Saved,Senses Fail
Night,The Quiet Things That No One Ever Knows,Brand New
Night,Alive With the Glory of Love,Say Anything
Night,I Lay My Love on You - Remix,Westlife
Night,Just Want You to Know,Backstreet Boys
Night,Tearin' up My Heart - Radio Edit,*NSYNC
Night,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston
Night,Mitt bästa för dig,Grymlings
Night,About You Now,Sugababes
Morning,Unknown Track,Unknown Artist
Evening,Mitt bästa för dig,Grymlings
Evening,Unknown Track,Unknown Artist
Evening,Det gör ont,Lena Philipsson
Evening,Beautiful Trauma,P!nk
Evening,Du lever bara en gång,Noice
Evening,A Little Bit of Love,Andreas Johnson
Evening,Marie,Magnum Bonum
Evening,Teddybjörnen Fredriksson,Lasse Berghagen
Evening,IT'S GETTING HOT,NLE Choppa
Evening,Pink + White,Frank Ocean
Evening,Smooth Operator - Single Version,Sade
Evening,I'll Be Around (feat. Timbaland) - Club Mix,CeeLo Green
Evening,Your Song,Rita Ora
Evening,Amour plastique,Videoclub
Evening,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann
Evening,Remind Me to Forget,Kygo
Evening,This Feeling,The Chainsmokers
Evening,Good Life,OneRepublic
Evening,I Just Called To Say I Love You,Stevie Wonder
Evening,Without You,Mariah Carey
Evening,Whole Again,Atomic Kitten
Evening,Someone You Loved,Lewis Capaldi
Evening,I'm Like A Bird,Nelly Furtado
Evening,Imaginary,Brennan Heart
Evening,WWE: Head of the Table (Roman Reigns),WWE
Evening,Chambea,Bad Bunny
Evening,Wolfpack - Frequencerz Qlimax 2015 Edit,Frequencerz
Evening,Haven't You Ever Been In Love Before?,Lewis Capaldi
Evening,Never Let Me Go,Timmy Trumpet
Evening,Devil's Night,Ghost Stories
Evening,Helena,My Chemical Romance
Evening,Where You Are (Sávežan),Arc North
Evening,Anthem Part Two,blink-182
Evening,Aliens Exist,blink-182
Evening,Children Of Drums - Headhunterz Remix,Wildstylez
Evening,Vindicated,Dashboard Confessional
Evening,Six Feet Under,Smash Into Pieces
Evening,Temple Of Light,Wildstylez
Evening,What About Us,Audiotricz
Evening,Det är ju dej jag går och väntar på,Lucianoz
Evening,title track,mgk
Evening,9 lives,mgk
Evening,Cynical,blink-182
Evening,The Other Side,Hugh Jackman
Evening,Wish You The Best,Lewis Capaldi
Evening,Darkside,blink-182
Evening,The Great Escape,BOYS LIKE GIRLS
Evening,From Yesterday,Thirty Seconds To Mars
Evening,Adam's Song,blink-182
Evening,acting like that (feat. Machine Gun Kelly),YUNGBLUD
Evening,The Elite,Coone
Evening,Bored to Death,blink-182
Evening,Fire And Ice - Radio Edit,MYST
Evening,What's My Age Again?,blink-182
Evening,RAGGEN GÅR,Elov & Beny
Evening,Heavenly Kind Of State Of Mind,Lewis Capaldi
Evening,Always,Gavin James
Evening,Fight For Something,Brennan Heart
Evening,Moth To A Flame (with The Weeknd),Swedish House Mafia
Evening,Queen of My Heart - Radio Edit,Westlife
Night,"Dear Maria, Count Me In",All Time Low
Night,Forget Me,Lewis Capaldi
Night,Teenagers,My Chemical Romance
Night,Vem e som oss,Anis Don Demina
Night,Darkest Hour (The Clock),D-Block & S-te-Fan
Night,Good Life,OneRepublic
Night,Ohio Is For Lovers,Hawthorne Heights
Night,From Yesterday,Thirty Seconds To Mars
Night,All The Small Things,blink-182
Night,Rave Into Space,Sub Zero Project
Night,Melody Of The Blade,Brennan Heart
Night,Cruel Summer,Taylor Swift
Night,Children Of Drums - Headhunterz Remix,Wildstylez
Night,Stay Mine - Gabry Ponte Remix,Timmy Trumpet
Night,Physical,Dua Lipa
Night,Dysentery Gary,blink-182
Night,maybe (feat. Bring Me The Horizon),mgk
Night,Without You,Mariah Carey
