time_of_day,track_name,artist_name
Night,I Think I'm OKAY (with YUNGBLUD & Travis Barker),mgk
Night,If It Means A Lot To You,A Day To Remember
Night,I Don't Love You,My Chemical Romance
Night,Heaven Takes You Home (feat. Connie Constance),Swedish House Mafia
Night,Goliath,Smith & Thell
Night,Forget Me,Lewis Capaldi
Night,Speed of Sound,Coldplay
Night,Stop And Stare,OneRepublic
Night,Iris,The Goo Goo Dolls
Night,Leave Before You Love Me (with Jonas Brothers),Marshmello
Night,You're Beautiful,James Blunt
Night,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur
Night,Adore You,Harry Styles
Morning,The Prince Of Egypt (When You Believe),Mariah Carey
Morning,Wherever You Will Go,The Calling
Morning,What's Love Got to Do with It,Tina Turner
Afternoon,Drowning,Backstreet Boys
Afternoon,Vildhjärta,Stiftelsen
Afternoon,You Learn,Takida
Afternoon,Rotlös,Stiftelsen
Afternoon,Flickan och kråkan,Timbuktu
Afternoon,Ingen annan rör mig som du,Norlie & KKV
Afternoon,Kom,Timoteij
Afternoon,Evighet,Carola
Afternoon,Goliat,Laleh
Afternoon,Varje gång jag ser dig,Lisa Nilsson
Afternoon,Hjärter Dams sista sång,Lars Winnerbäck
Afternoon,Flickorna på TV2,Gyllene Tider
Afternoon,Gloria,Mando Diao
Afternoon,Jag blir hellre jagad av vargar,Orup
Afternoon,Här kommer alla känslorna (på en och samma gång),Per Gessle
Afternoon,Regn hos mej,Orup
Afternoon,Tusen och en natt,Charlotte Perrelli
Afternoon,En annan värld,Stiftelsen
Afternoon,Nu har vi varann,Stiftelsen
Afternoon,Regnblöta skor,Miriam Bryant
Afternoon,Handlake Village,Takida
Afternoon,Jag vill ha en egen måne,Ted Gärdestad
Afternoon,Kärleken väntar,kent
Afternoon,Wherever You Will Go,The Calling
Afternoon,Last Night,Morgan Wallen
Afternoon,Austin (Boots Stop Workin'),Dasha
Afternoon,A Bar Song (Tipsy),Shaboozey
Afternoon,Scared To Start,Michael Marcagi
Afternoon,Hurricane,Luke Combs
Afternoon,Maybe It's Time,Bradley Cooper
Afternoon,Beautiful Crazy,Luke Combs
Afternoon,Keith,Kaylee Bell
Afternoon,Sounds Like Something I’d Do,Drake Milligan
Afternoon,Thinkin’ Bout Me,Morgan Wallen
Afternoon,Hide My Gun (Feat. HARDY),Post Malone
Afternoon,Devil You Know,Tyler Braden
Afternoon,"Going, Going, Gone",Luke Combs
Afternoon,What He'll Never Have,Dylan Scott
Afternoon,Mr Red White and Blue,Coffey Anderson
Afternoon,Can't Stop,Red Hot Chili Peppers
Afternoon,Chop Suey!,System Of A Down
Afternoon,Uprising,Muse
Afternoon,Mr. Red White and Blue - Rock Version,Coffey Anderson
Afternoon,The Middle,Jimmy Eat World
Afternoon,Thnks fr th Mmrs,Fall Out Boy
Afternoon,What I've Done,Linkin Park
Afternoon,The Kill (Bury Me),Thirty Seconds To Mars
Afternoon,Face Down,The Red Jumpsuit Apparatus
Afternoon,Dani California,Red Hot Chili Peppers
Afternoon,Mr. Brightside,The Killers
Afternoon,When You Were Young,The Killers
Afternoon,Numb,Linkin Park
Afternoon,"Sugar, We're Goin Down",Fall Out Boy
Afternoon,Californication,Red Hot Chili Peppers
Afternoon,Eenie Meenie,Sean Kingston
Afternoon,The Devil Went Down to Georgia,The Charlie Daniels Band
Afternoon,The Gambler,Kenny Rogers
Afternoon,Miles On It,Marshmello
Afternoon,Achy Breaky Heart,Billy Ray Cyrus
Afternoon,Follow Me,Uncle Kracker
Afternoon,Would You Go With Me,Josh Turner
Afternoon,Lies Lies Lies,Morgan Wallen
Afternoon,Up! - Red Version,Shania Twain
Afternoon,What If I Never Get Over You,Lady A
Afternoon,Life is a Highway,Rascal Flatts
Afternoon,Somebody Like You,Keith Urban
Afternoon,You Proof,Morgan Wallen
Afternoon,Lonely Road (with Jelly Roll),mgk
Afternoon,Amazed,Lonestar
Afternoon,APT.,ROSÉ
Afternoon,The End.,My Chemical Romance
Afternoon,Unknown Track,Unknown Artist
Afternoon,I Had Some Help (Feat. Morgan Wallen),Post Malone
Afternoon,DANCE WITH ME,blink-182
Afternoon,The Emptiness Machine,Linkin Park
Evening,Closer To The Edge,Thirty Seconds To Mars
Evening,Last Night,Morgan Wallen
Evening,Last Night - One Record At A Time Sessions,Morgan Wallen
Evening,I Am Not Okay,Jelly Roll
Evening,Spin You Around,Morgan Wallen
Evening,What Hurts The Most,Rascal Flatts
Evening,Miles On It,Marshmello
Evening,One Number Away,Luke Combs
Evening,Nåt som verkligen är bra,Lars Winnerbäck
Evening,"(Du är så) Yeah Yeah, Wow Wow",Martin
Evening,Forever After All,Luke Combs
Evening,This Town's Been Too Good To Us,Dylan Scott
Evening,How Do I Live,LeAnn Rimes
Evening,The Gambler,Kenny Rogers
Night,Last Night,Morgan Wallen
Night,More Than My Hometown,Morgan Wallen
Night,Maybe It's Time,Bradley Cooper
Night,The Devil Went Down to Georgia,The Charlie Daniels Band
Afternoon,Fading Like A Flower (Every Time You Leave),Roxette
Afternoon,Gå & fiska!,Gyllene Tider
Afternoon,Du hinner aldrig ifatt,Stiftelsen
