time_of_day,track_name,artist_name,bpm
Morning,Bulletproof Heart,My Chemical Romance,Medium
Night,MakeDamnSure,Taking Back Sunday,Medium
Night,The Boys of Summer,The Ataris,High
Night,Can't Be Saved,Senses Fail,High
Night,The Quiet Things That No One Ever Knows,Brand New,High
Night,Alive With the Glory of Love,Say Anything,Medium
Night,I Lay My Love on You - Remix,Westlife,Medium
Night,Just Want You to Know,Backstreet Boys,Medium
Night,Tearin' up My Heart - Radio Edit,*NSYNC,Medium
Night,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,Medium
Night,Mitt bästa för dig,Grymlings,Medium
Night,About You Now,Sugababes,High
Morning,Unknown Track,Unknown Artist,Low
Evening,Mitt bästa för dig,Grymlings,Medium
Evening,Unknown Track,Unknown Artist,Low
Evening,Det gör ont,Lena Philipsson,Medium
Evening,Beautiful Trauma,P!nk,Medium
Evening,Du lever bara en gång,Noice,Medium
Evening,A Little Bit of Love,Andreas Johnson,High
Evening,Marie,Magnum Bonum,High
Evening,Teddybjörnen Fredriksson,Lasse Berghagen,Low
Evening,IT'S GETTING HOT,NLE Choppa,Medium
Evening,Pink + White,Frank Ocean,Medium
Evening,Smooth Operator - Single Version,Sade,Medium
Evening,I'll Be Around (feat. Timbaland) - Club Mix,CeeLo Green,Medium
Evening,Your Song,Rita Ora,High
Evening,Amour plastique,Videoclub,Medium
Evening,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,Medium
Evening,Remind Me to Forget,Kygo,Medium
Evening,This Feeling,The Chainsmokers,Medium
Evening,Good Life,OneRepublic,High
Evening,I Just Called To Say I Love You,Stevie Wonder,Medium
Evening,Without You,Mariah Carey,Medium
Evening,Whole Again,Atomic Kitten,Medium
Evening,Someone You Loved,Lewis Capaldi,Medium
Evening,I'm Like A Bird,Nelly Furtado,Low
Evening,Imaginary,Brennan Heart,High
Evening,WWE: Head of the Table (Roman Reigns),WWE,Medium
Evening,Chambea,Bad Bunny,Medium
Evening,Wolfpack - Frequencerz Qlimax 2015 Edit,Frequencerz,Medium
Evening,Haven't You Ever Been In Love Before?,Lewis Capaldi,Medium
Evening,Never Let Me Go,Timmy Trumpet,Low
Evening,Devil's Night,Ghost Stories,High
Evening,Helena,My Chemical Romance,Medium
Evening,Where You Are (Sávežan),Arc North,Medium
Evening,Anthem Part Two,blink-182,Medium
Evening,Aliens Exist,blink-182,Medium
Evening,Children Of Drums - Headhunterz Remix,Wildstylez,Medium
Evening,Vindicated,Dashboard Confessional,Medium
Evening,Six Feet Under,Smash Into Pieces,High
Evening,Temple Of Light,Wildstylez,Medium
Evening,What About Us,Audiotricz,Medium
Evening,Det är ju dej jag går och väntar på,Lucianoz,Medium
Evening,title track,mgk,Medium
Evening,9 lives,mgk,Medium
Evening,Cynical,blink-182,Medium
Evening,The Other Side,Hugh Jackman,Medium
Evening,Wish You The Best,Lewis Capaldi,Low
Evening,Darkside,blink-182,Medium
Evening,The Great Escape,BOYS LIKE GIRLS,Medium
Evening,From Yesterday,Thirty Seconds To Mars,Medium
Evening,Adam's Song,blink-182,Medium
Evening,acting like that (feat. Machine Gun Kelly),YUNGBLUD,Medium
Evening,The Elite,Coone,Medium
Evening,Bored to Death,blink-182,Medium
Evening,Fire And Ice - Radio Edit,MYST,Medium
Evening,What's My Age Again?,blink-182,Medium
Evening,RAGGEN GÅR,Elov & Beny,Medium
Evening,Heavenly Kind Of State Of Mind,Lewis Capaldi,Medium
Evening,Always,Gavin James,Low
Evening,Fight For Something,Brennan Heart,Medium
Evening,Moth To A Flame (with The Weeknd),Swedish House Mafia,Medium
Evening,Queen of My Heart - Radio Edit,Westlife,Medium
Night,"Dear Maria, Count Me In",All Time Low,High
Night,Forget Me,Lewis Capaldi,Medium
Night,Teenagers,My Chemical Romance,Medium
Night,Vem e som oss,Anis Don Demina,Medium
Night,Darkest Hour (The Clock),D-Block & S-te-Fan,Medium
Night,Good Life,OneRepublic,High
Night,Ohio Is For Lovers,Hawthorne Heights,Medium
Night,From Yesterday,Thirty Seconds To Mars,Medium
Night,All The Small Things,blink-182,Medium
Night,Rave Into Space,Sub Zero Project,Medium
Night,Melody Of The Blade,Brennan Heart,Medium
Night,Cruel Summer,Taylor Swift,Medium
Night,Children Of Drums - Headhunterz Remix,Wildstylez,Medium
Night,Stay Mine - Gabry Ponte Remix,Timmy Trumpet,Medium
Night,Physical,Dua Lipa,Medium
Night,Dysentery Gary,blink-182,Medium
Night,maybe (feat. Bring Me The Horizon),mgk,Medium
Night,Without You,Mariah Carey,Medium
Night,I Think I'm OKAY (with YUNGBLUD & Travis Barker),mgk,Medium
Night,Det är ju dej jag går och väntar på,Lucianoz,Medium
